customer_id,first_name,last_name,email,street,city,state,country
0,Yolanda,Carter,amandaflowers@example.org,3834 Matthew Fords,East Sierraborough,Kentucky,Montserrat
1,Margaret,Cochran,shawnbowman@example.org,86930 Derrick Tunnel,Burtontown,Arkansas,Liechtenstein
2,Kristen,Hardy,robertbradley@example.com,96312 Nathaniel Islands Apt. 859,Goldenside,Colorado,Serbia
3,Jessica,Richardson,annelowe@example.net,180 Pamela Courts,Mccarthybury,Oregon,Australia
4,Pamela,Nelson,ninapotter@example.net,342 John Track,North Kevinchester,California,Lesotho
5,Paul,Romero,hardinamy@example.com,143 Deborah Radial,Michaelberg,Georgia,Pitcairn Islands
6,Jimmy,Whitney,fclark@example.com,8895 Diaz Roads Suite 502,West Andrea,Wyoming,Netherlands Antilles
7,Kenneth,Nguyen,christinewoods@example.net,1635 Julie Viaduct,Haaschester,Montana,Bouvet Island (Bouvetoya)
8,Jonathon,Ibarra,vincentleach@example.org,9460 Howell Park Suite 592,Port Patricia,Pennsylvania,Trinidad and Tobago
9,Holly,Gonzalez,pamela57@example.org,065 Costa Stravenue,Liville,New York,Kenya
10,Cindy,Graves,efritz@example.net,938 Cory Well Apt. 944,New Kyle,Vermont,Cyprus
11,Linda,Tyler,angelahill@example.com,574 Singleton Station,Griffinstad,Georgia,Falkland Islands (Malvinas)
12,Juan,Salazar,estradabrian@example.net,546 Benjamin Mall,North Deborahchester,Oregon,Spain
13,Kelly,Jackson,gary50@example.com,6534 Rush Shores,Erictown,Kansas,Mexico
14,Rebecca,Harris,billy14@example.org,776 Henry Cliffs,Margaretview,Idaho,Russian Federation
15,Richard,Jones,victoriaboyd@example.net,1453 Yolanda Mount Suite 671,North Davidview,Alabama,Monaco
16,Lisa,Brewer,travisgonzales@example.com,45136 Daniel Field,Rodriguezfort,Arizona,Zambia
17,Victoria,Tran,elliottemily@example.com,955 Amanda Stream,Robbinshaven,Pennsylvania,Macao
18,Bryan,Myers,andersontonya@example.net,2970 Butler Cape,North Nicholas,Michigan,Bahrain
19,Douglas,Tanner,jennyleonard@example.org,7635 Robin Street Suite 949,East Steven,Vermont,Kazakhstan
20,Nicholas,Rodriguez,whernandez@example.com,413 Scott Throughway,North Scottport,Rhode Island,Belarus
21,Alexis,Estrada,owensmark@example.net,646 Meghan Ways,Zacharyview,Missouri,Peru
22,Diane,Hampton,pateljoseph@example.org,861 Patricia Prairie Suite 769,New Melissa,Mississippi,Tokelau
23,Paul,Frazier,kim15@example.net,1205 Young Knolls Suite 137,Jamesborough,Louisiana,Norway
24,Faith,Hanson,thomasgina@example.com,28866 Mario Drive,Jamesfurt,Connecticut,Comoros
25,Austin,Buchanan,joseph20@example.org,6841 Acosta Mountains,West Heather,New Jersey,Malta
26,Paige,Santiago,brian69@example.com,36362 Erickson Island Suite 351,East Christopher,Pennsylvania,Japan
27,John,Bell,justin16@example.org,546 Diane Pike Suite 259,Jayfurt,Pennsylvania,Sao Tome and Principe
28,Chris,Martin,gerald07@example.org,9632 Perry Roads Apt. 185,Martinville,Mississippi,Kyrgyz Republic
29,Gina,Mitchell,julie27@example.com,15610 Bridges Shore Suite 838,Lake Chase,Alabama,Samoa
30,Jake,Hamilton,hmcdaniel@example.com,6226 Diane Circles,North Karenchester,Utah,Mongolia
31,James,James,christy59@example.net,2221 Jeanne Stream,East Michaelmouth,Kentucky,Montserrat
32,Tanya,Baker,dannyjohnson@example.org,07935 Rivera Villages Suite 485,Kristopherfort,New York,Cocos (Keeling) Islands
33,Amy,White,williamscarl@example.com,7782 Snyder Neck Apt. 044,Russellhaven,South Carolina,Libyan Arab Jamahiriya
34,Jessica,Cruz,samantha10@example.net,086 Brown Squares Suite 712,Christinabury,Arkansas,Guadeloupe
35,Peter,Myers,royangelica@example.com,1466 Melanie Divide,Lake Kelsey,New Mexico,Mexico
36,Victoria,Miller,blackwellbrian@example.net,002 Tate Viaduct,Kristinland,Colorado,American Samoa
37,Ryan,Proctor,webermichael@example.com,4134 Kimberly Plaza Suite 189,North Amyland,Minnesota,Ecuador
38,Jennifer,Baldwin,richardjones@example.net,0328 Gordon Vista,Sandrafurt,South Dakota,Korea
39,Pamela,Barrera,rachel54@example.org,98835 Maria Vista Suite 043,West Emilymouth,New Mexico,Liberia
40,Victoria,Anderson,patrickschmidt@example.com,3946 Tina Flat Suite 062,North Matthewberg,Nebraska,Anguilla
41,Daniel,Russell,berrykaren@example.net,76019 Joshua Corners,East Adam,Missouri,Botswana
42,Jasmine,Huffman,ewilson@example.net,40664 Hayes Passage Apt. 395,North Jeffreystad,New Mexico,Andorra
43,Robert,Munoz,burnsstephanie@example.com,724 Evans Drive,Williamborough,New York,Sweden
44,Kyle,Reilly,andrew48@example.org,5399 Graves Way Apt. 679,Dunlaptown,Georgia,Liberia
45,Helen,Brown,randy09@example.com,16986 Gilbert Stream,Sweeneyton,Maryland,Morocco
46,Kelly,Garcia,melissa99@example.com,83320 Fischer Place,Kelleyfort,California,Djibouti
47,Christina,Allison,ymarsh@example.net,081 Mcgee Mission Apt. 142,Shepardport,New Hampshire,Fiji
48,Dean,Dunn,williamallison@example.com,40443 Foster Crest,Michellefort,Illinois,Mexico
49,Janet,Mcdonald,elaineharrell@example.net,752 Katie Parkway,New Janetside,Idaho,Malawi
50,Brian,Oliver,shawbecky@example.net,81962 Williams Alley,Jasonburgh,Hawaii,Turks and Caicos Islands
51,Rachel,Fletcher,kenneth12@example.com,98312 Moreno Shore,West Nicolemouth,Washington,Dominica
52,Edwin,Rubio,jeffrey19@example.net,68914 Sexton Point Apt. 230,West Jennifer,Illinois,Kenya
53,Monica,Arnold,williamkeller@example.org,852 Melissa Trafficway,Lake Calvinfurt,Arizona,Iceland
54,Louis,Leon,timothyburnett@example.net,209 Morgan Mountains,Brownton,Washington,Cambodia
55,Ian,Allen,salasclaire@example.org,02264 Silva Glen,East Amy,Arizona,Israel
56,Nicole,Simpson,timothypugh@example.org,90819 Alan Village Apt. 243,East Christine,Alaska,Guadeloupe
57,Courtney,Rivera,awilkins@example.com,3624 Christina Estates Apt. 374,North Thomastown,Colorado,Cambodia
58,Patrick,Escobar,ymitchell@example.com,542 Julie Walks Apt. 033,Cheyennetown,Tennessee,Czech Republic
59,Ashley,Smith,robertkennedy@example.org,22484 Potter Mountains,Lake Michaelfort,Kentucky,Qatar
